name,D_pct,D_rank,judge_favored,fan_favored,season,week
John O'Hurley,0.00015066864024190774,0,True,False,1,2
Kelly Monaco,-0.0621167930152032,-2,False,True,1,2
Evander Holyfield,-0.03577156610337065,-1,False,True,1,2
Rachel Hunter,0.028753556559951265,2,True,False,1,2
Joey McIntyre,-0.03668264406264446,-1,False,True,1,2
Trista Sutter,0.10566677798102514,2,True,False,1,2
John O'Hurley,-0.026900556323507463,-1,False,True,1,3
Kelly Monaco,-0.040912840258039734,-1,False,True,1,3
Evander Holyfield,0.06307589752083989,0,True,False,1,3
Rachel Hunter,0.04521027885337653,3,True,False,1,3
Joey McIntyre,-0.04047277979266917,-1,False,True,1,3
John O'Hurley,-0.07683279145351482,-1,False,True,1,4
Kelly Monaco,-0.03406286768213879,0,False,True,1,4
Rachel Hunter,0.1922198145309194,2,True,False,1,4
Joey McIntyre,-0.08132415539526586,-1,False,True,1,4
Tatum O'Neal,0.011343775306740883,4,True,False,2,1
Tia Carrere,-0.020345046599557104,-3,False,True,2,1
George Hamilton,0.008288758700118873,1,True,False,2,1
Lisa Rinna,-0.01207644636904008,-3,False,True,2,1
Stacy Keibler,0.009127071343136228,3,True,False,2,1
Jerry Rice,-0.0005820356174296298,0,False,True,2,1
Giselle Fernandez,0.03337488411918442,5,True,False,2,1
Master P,-0.06664828973623896,-9,False,True,2,1
Drew Lachey,-0.004090127789897258,1,False,True,2,1
Kenny Mayne,0.041607456642982654,1,True,False,2,1
Tatum O'Neal,0.055747285373642694,1,True,False,2,2
Tia Carrere,-0.027405068702534355,-2,False,True,2,2
George Hamilton,0.016071853035926523,2,True,False,2,2
Lisa Rinna,-0.022428161214080602,-3,False,True,2,2
Stacy Keibler,0.029077042038521003,5,True,False,2,2
Jerry Rice,-0.0060442605221302514,1,False,True,2,2
Giselle Fernandez,0.025451552725776358,4,True,False,2,2
Master P,-0.06330507165253584,-8,False,True,2,2
Drew Lachey,-0.00716517108258552,0,False,True,2,2
Tia Carrere,-0.013649019745322205,-1,False,True,2,3
George Hamilton,0.013893778084983766,2,True,False,2,3
Lisa Rinna,-0.0020846184162649495,0,False,True,2,3
Stacy Keibler,0.01631379553650722,4,True,False,2,3
Jerry Rice,-0.020941645739295647,-1,False,True,2,3
Giselle Fernandez,0.09150860913091619,2,True,False,2,3
Master P,-0.0714645824319868,-5,False,True,2,3
Drew Lachey,-0.013576316419537549,-1,False,True,2,3
Tia Carrere,-0.023157806314430485,-2,False,True,2,4
George Hamilton,0.008918855207302123,0,True,False,2,4
Lisa Rinna,0.0029420135408319004,1,True,False,2,4
Stacy Keibler,0.02544102029053391,2,True,False,2,4
Jerry Rice,-0.007889213759169178,-1,False,True,2,4
Master P,0.004199297462320881,0,True,False,2,4
Drew Lachey,-0.010454166427389167,0,False,True,2,4
Tia Carrere,0.08649114647714526,0,True,False,2,5
George Hamilton,0.010546052832690028,1,True,False,2,5
Lisa Rinna,-0.027857944118972633,-1,False,True,2,5
Stacy Keibler,0.015532041745705216,3,True,False,2,5
Jerry Rice,-0.038916476575605236,-2,False,True,2,5
Drew Lachey,-0.04579482036096266,-1,False,True,2,5
George Hamilton,0.11973932018846553,1,True,False,2,6
Lisa Rinna,-0.028102827425076776,-1,False,True,2,6
Stacy Keibler,0.006733466008347316,3,True,False,2,6
Jerry Rice,-0.05556551487250147,-2,False,True,2,6
Drew Lachey,-0.04280444389923466,-1,False,True,2,6
Lisa Rinna,0.16908430342470385,1,True,False,2,7
Stacy Keibler,-0.01672301412891658,1,False,True,2,7
Jerry Rice,-0.07081986220318814,-1,False,True,2,7
Drew Lachey,-0.08154142709259915,-1,False,True,2,7
Harry Hamlin,-0.009277474434409197,0,False,True,3,1
Vivica A. Fox,0.008516827751606088,3,True,False,3,1
