season,week,n_contestants,actual_eliminated,pct_eliminated,rank_eliminated,same_result,pct_judge_weight,pct_fan_weight
1,2,6,Trista Sutter,Trista Sutter,Evander Holyfield,False,0.2617875075823055,0.7382124924176945
1,3,5,Evander Holyfield,Evander Holyfield,Evander Holyfield,True,0.24990170419293967,0.7500982958070603
1,4,4,Rachel Hunter,Rachel Hunter,Joey McIntyre,False,0.07315787884254693,0.926842121157453
2,1,10,Kenny Mayne,Kenny Mayne,Kenny Mayne,True,0.32645472615628807,0.6735452738437119
2,2,9,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,True,0.26003921959281684,0.7399607804071832
2,3,8,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez,True,0.25538553813908754,0.7446144618609124
2,4,7,Master P,Master P,Master P,True,0.44457216902705304,0.5554278309729469
2,5,6,Tia Carrere,Tia Carrere,Tia Carrere,True,0.10041513124537557,0.8995848687546244
2,6,5,George Hamilton,George Hamilton,George Hamilton,True,0.08931175583043018,0.9106882441695697
2,7,4,Lisa Rinna,Lisa Rinna,Lisa Rinna,True,0.08036415415094954,0.9196358458490506
3,1,11,Tucker Carlson,Tucker Carlson,Tucker Carlson,True,0.40928222330497344,0.5907177766950266
3,2,10,Shanna Moakler,Shanna Moakler,Jerry Springer,False,0.17473177473452786,0.825268225265472
3,3,9,Harry Hamlin,Harry Hamlin,Jerry Springer,False,0.1548361495656258,0.8451638504343743
3,4,8,Vivica A. Fox,Vivica A. Fox,Jerry Springer,False,0.135444196192055,0.8645558038079451
3,5,7,Willa Ford,Willa Ford,Jerry Springer,False,0.032003199096906146,0.9679968009030939
3,7,5,Jerry Springer,Jerry Springer,Jerry Springer,True,0.041841170890667086,0.9581588291093328
3,8,4,Monique Coleman,Monique Coleman,Monique Coleman,True,0.004796858994515851,0.9952031410054842
4,2,11,Paulina Porizkova,Paulina Porizkova,Shandi Finnessey,False,0.17440605110330235,0.8255939488966977
4,3,10,Shandi Finnessey,Shandi Finnessey,John Ratzenberger,False,0.14383997668159046,0.8561600233184096
4,4,9,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,True,0.3204156334377647,0.6795843665622353
4,5,8,Clyde Drexler,Clyde Drexler,Clyde Drexler,True,0.3959089607583158,0.6040910392416843
4,6,7,Heather Mills,Heather Mills,John Ratzenberger,False,0.15838827951806297,0.8416117204819371
4,7,6,John Ratzenberger,John Ratzenberger,John Ratzenberger,True,0.16323249795920106,0.836767502040799
4,8,5,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,True,0.1429409118892448,0.8570590881107553
4,9,4,Ian Ziering,Ian Ziering,Ian Ziering,True,0.0013819874692114352,0.9986180125307886
5,1,12,Josie Maran,Josie Maran,Josie Maran,True,0.2099201340007026,0.7900798659992974
5,2,11,Albert Reed,Albert Reed,Wayne Newton,False,0.2206835834814092,0.7793164165185908
5,3,10,Wayne Newton,Wayne Newton,Wayne Newton,True,0.1902968071133597,0.8097031928866403
5,4,9,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,True,0.08771187590526389,0.912288124094736
5,5,8,Mark Cuban,Mark Cuban,Mark Cuban,True,0.12538530949844945,0.8746146905015506
5,6,7,Sabrina Bryan,Sabrina Bryan,Jane Seymour,False,0.08681944651892308,0.9131805534810769
