season,week,celebrity_name,judge_score,judge_percentage,prior_votes,prior_percentage,estimated_votes,vote_percentage,combined_score,min_votes,max_votes,margin_to_elim,prior_consistency,confidence,confidence_level,is_eliminated,consistency_check
1,2,John O'Hurley,26.0,21.49,1917472,19.17,2147253,21.47,42.96,0,10000000,22.12,88.0,52.2,Medium,False,True
1,2,Kelly Monaco,17.0,14.05,1809307,18.09,2026126,20.26,34.31,665289,10000000,13.47,88.0,46.3,Medium,False,True
1,2,Evander Holyfield,14.0,11.57,1352645,13.53,1514740,15.15,26.72,913223,10000000,5.88,88.0,40.8,Medium,False,True
1,2,Rachel Hunter,24.0,19.83,1514450,15.14,1695935,16.96,36.79,86776,10000000,15.96,88.0,47.6,Medium,False,True
1,2,Joey McIntyre,21.0,17.36,1877385,18.77,2102363,21.02,38.38,334710,10000000,17.54,88.0,49.1,Medium,False,True
1,2,Trista Sutter,19.0,15.7,1528738,15.29,513580,5.14,20.84,0,86776,0.0,33.6,67.7,High,True,True
1,3,John O'Hurley,24.0,22.64,2224044,22.24,2533156,25.33,47.97,0,10000000,29.75,86.1,54.2,Medium,False,True
1,3,Kelly Monaco,21.0,19.81,2098585,20.99,2390260,23.9,43.71,0,10000000,25.49,86.1,54.2,Medium,False,True
1,3,Evander Holyfield,13.0,12.26,1743235,17.43,595656,5.96,18.22,0,1354716,0.0,34.2,76.4,High,True,True
1,3,Rachel Hunter,26.0,24.53,1756585,17.57,2000727,20.01,44.54,0,10000000,26.31,86.1,54.2,Medium,False,True
1,3,Joey McIntyre,22.0,20.75,2177549,21.78,2480199,24.8,45.56,0,10000000,27.34,86.1,54.2,Medium,False,True
1,4,John O'Hurley,21.0,22.83,2573445,25.73,3050936,30.51,53.34,1184782,10000000,18.21,81.4,51.9,Medium,False,True
1,4,Kelly Monaco,26.0,28.26,2671104,26.71,3166715,31.67,59.93,641304,10000000,24.8,81.4,55.2,High,False,True
1,4,Rachel Hunter,25.0,27.17,2235803,22.36,795193,7.95,35.13,0,206521,0.0,35.6,85.0,High,True,True
1,4,Joey McIntyre,20.0,21.74,2519645,25.2,2987154,29.87,51.61,1293478,10000000,16.48,81.4,50.7,Medium,False,True
2,1,Tatum O'Neal,23.0,11.79,1007158,10.07,1066049,10.66,22.46,0,10000000,13.28,94.2,40.7,Medium,False,True
2,1,Tia Carrere,20.0,10.26,1161194,11.61,1229091,12.29,22.55,0,10000000,13.37,94.2,40.8,Medium,False,True
2,1,George Hamilton,18.0,9.23,793776,7.94,840189,8.4,17.63,43589,10000000,8.46,94.2,37.1,Medium,False,True
2,1,Lisa Rinna,19.0,9.74,1034626,10.35,1095123,10.95,20.69,0,10000000,11.52,94.2,39.4,Medium,False,True
2,1,Stacy Keibler,22.0,11.28,979652,9.8,1036934,10.37,21.65,0,10000000,12.48,94.2,40.1,Medium,False,True
2,1,Jerry Rice,21.0,10.77,1022931,10.23,1082743,10.83,21.6,0,10000000,12.42,94.2,40.1,Medium,False,True
2,1,Giselle Fernandez,23.0,11.79,799018,7.99,845738,8.46,20.25,0,10000000,11.08,94.2,39.0,Medium,False,True
2,1,Master P,12.0,6.15,1211055,12.11,1281867,12.82,18.97,351282,10000000,9.8,94.2,38.4,Medium,False,True
2,1,Drew Lachey,24.0,12.31,1201422,12.01,1271670,12.72,25.02,0,10000000,15.85,94.2,42.6,Medium,False,True
2,1,Kenny Mayne,13.0,6.67,789163,7.89,250592,2.51,9.17,0,248717,0.0,31.8,62.4,High,True,True
2,2,Tatum O'Neal,17.0,8.5,912787,9.13,292527,2.93,11.43,0,283333,0.0,32.0,64.8,High,True,True
2,2,Tia Carrere,22.0,11.0,1286255,12.86,1374050,13.74,24.74,83333,10000000,13.32,93.2,42.2,Medium,False,True
2,2,George Hamilton,22.0,11.0,879265,8.79,939281,9.39,20.39,83333,10000000,8.97,93.2,38.9,Medium,False,True
2,2,Lisa Rinna,20.0,10.0,1146055,11.46,1224281,12.24,22.24,183333,10000000,10.82,93.2,40.4,Medium,False,True
2,2,Stacy Keibler,29.0,14.5,1085160,10.85,1159229,11.59,26.09,0,10000000,14.67,93.2,43.1,Medium,False,True
2,2,Jerry Rice,23.0,11.5,1133100,11.33,1210442,12.1,23.6,33333,10000000,12.18,93.2,41.3,Medium,False,True
2,2,Giselle Fernandez,24.0,12.0,885072,8.85,945484,9.45,21.45,0,10000000,10.03,93.2,39.6,Medium,False,True
2,2,Master P,16.0,8.0,1341485,13.41,1433050,14.33,22.33,383333,10000000,10.91,93.2,40.6,Medium,False,True
2,2,Drew Lachey,27.0,13.5,1330814,13.31,1421651,14.22,27.72,0,10000000,16.29,93.2,44.3,Medium,False,True
2,3,Tia Carrere,26.0,14.29,1464685,14.65,1565061,15.65,29.94,155219,10000000,14.91,93.1,45.0,Medium,False,True
2,3,George Hamilton,22.0,12.09,1001237,10.01,1069853,10.7,22.79,375000,10000000,7.76,93.1,39.8,Medium,False,True
2,3,Lisa Rinna,25.0,13.74,1305037,13.05,1394472,13.94,27.68,210164,10000000,12.66,93.1,43.4,Medium,False,True
2,3,Stacy Keibler,27.0,14.84,1235694,12.36,1320378,13.2,28.04,100274,10000000,13.01,93.1,43.5,Medium,False,True
2,3,Jerry Rice,19.0,10.44,1172986,11.73,1253372,12.53,22.97,539835,10000000,7.95,93.1,40.1,Medium,False,True
2,3,Giselle Fernandez,22.0,12.09,916227,9.16,293705,2.94,15.02,0,0,0.0,32.1,66.5,High,True,True
2,3,Master P,14.0,7.69,1388706,13.89,1483876,14.84,22.53,814560,10000000,7.51,93.1,40.0,Medium,False,True
2,3,Drew Lachey,27.0,14.84,1515425,15.15,1619279,16.19,31.03,100274,10000000,16.0,93.1,45.8,Medium,False,True
2,4,Tia Carrere,25.0,15.82,1636544,16.37,1813856,18.14,33.96,0,10000000,24.25,89.2,51.8,Medium,False,True
2,4,George Hamilton,21.0,13.29,1118718,11.19,1239925,12.4,25.69,0,10000000,15.98,89.2,46.3,Medium,False,True
2,4,Lisa Rinna,26.0,16.46,1458164,14.58,1616149,16.16,32.62,0,10000000,22.91,89.2,51.5,Medium,False,True
2,4,Stacy Keibler,26.0,16.46,1255168,12.55,1391159,13.91,30.37,0,10000000,20.66,89.2,49.8,Medium,False,True
2,4,Jerry Rice,24.0,15.19,1441680,14.42,1597879,15.98,31.17,0,10000000,21.46,89.2,50.4,Medium,False,True
2,4,Master P,8.0,5.06,1396485,13.96,464336,4.64,9.71,0,1251356,0.0,33.3,72.9,High,True,True
2,4,Drew Lachey,28.0,17.72,1693238,16.93,1876693,18.77,36.49,0,10000000,26.78,89.2,51.8,Medium,False,True
2,5,Tia Carrere,22.0,14.57,1733943,17.34,592042,5.92,20.49,0,566225,0.0,34.1,70.8,High,True,True
2,5,George Hamilton,24.0,15.89,1303828,13.04,1483943,14.84,30.73,367549,10000000,10.24,86.2,43.2,Medium,False,True
2,5,Lisa Rinna,25.0,16.56,1699441,16.99,1934208,19.34,35.9,301324,10000000,15.41,86.2,47.0,Medium,False,True
2,5,Stacy Keibler,30.0,19.87,1609142,16.09,1831434,18.31,38.18,0,10000000,17.69,86.2,48.4,Medium,False,True
2,5,Jerry Rice,23.0,15.23,1680230,16.8,1912343,19.12,34.36,433774,10000000,13.87,86.2,45.9,Medium,False,True
2,5,Drew Lachey,27.0,17.88,1973413,19.73,2246027,22.46,40.34,168874,10000000,19.85,86.2,50.2,Medium,False,True
