season,week,name,pct_position,rank_position,delta_R,rank_favored,pct_favored
2,1,Stacy Keibler,4,6,-2,False,True
2,2,Giselle Fernandez,7,5,2,True,False
2,3,Jerry Rice,5,7,-2,False,True
2,3,Master P,7,5,2,True,False
3,2,Vivica A. Fox,6,4,2,True,False
3,2,Emmitt Smith,4,2,2,True,False
3,2,Sara Evans,3,6,-3,False,True
3,3,Harry Hamlin,9,7,2,True,False
3,4,Vivica A. Fox,8,6,2,True,False
3,4,Sara Evans,5,7,-2,False,True
3,5,Monique Coleman,5,3,2,True,False
4,2,Leeza Gibbons,7,9,-2,False,True
4,3,Shandi Finnessey,10,8,2,True,False
4,3,Heather Mills,5,3,2,True,False
4,5,Ian Ziering,4,2,2,True,False
4,7,Apolo Anton Ohno,2,4,-2,False,True
5,1,Sabrina Bryan,4,1,3,True,False
5,1,Jennie Garth,1,4,-3,False,True
5,2,Jennie Garth,2,5,-3,False,True
5,2,Mel B,5,2,3,True,False
5,3,Jane Seymour,7,4,3,True,False
5,3,Sabrina Bryan,3,1,2,True,False
5,4,Cameron Mathison,5,3,2,True,False
5,4,Mel B,3,5,-2,False,True
5,5,Jennie Garth,1,3,-2,False,True
5,8,Jennie Garth,1,3,-2,False,True
5,8,Helio Castroneves,3,1,2,True,False
6,2,Marlee Matlin,5,7,-2,False,True
6,3,Cristian de la Fuente,3,1,2,True,False
6,3,Priscilla Presley,6,4,2,True,False
6,3,Marlee Matlin,9,7,2,True,False
6,3,Mario,7,9,-2,False,True
6,5,Marissa Jaret Winokur,5,3,2,True,False
6,5,Mario,3,5,-2,False,True
7,1,Ted McGinley,13,11,2,True,False
7,1,Cloris Leachman,11,13,-2,False,True
7,2,Susan Lucci,8,6,2,True,False
7,2,Warren Sapp,3,1,2,True,False
7,4,Susan Lucci,7,5,2,True,False
7,4,Maurice Greene,6,8,-2,False,True
7,7,Susan Lucci,6,4,2,True,False
7,9,Warren Sapp,3,1,2,True,False
8,2,Shawn Johnson,6,4,2,True,False
8,2,Chuck Wicks,3,5,-2,False,True
8,2,Holly Madison,9,11,-2,False,True
8,2,Melissa Rycroft,5,7,-2,False,True
8,3,Gilles Marini,3,1,2,True,False
8,3,David Alan Grier,6,4,2,True,False
8,3,Chuck Wicks,2,5,-3,False,True
8,3,Melissa Rycroft,5,7,-2,False,True
8,4,David Alan Grier,7,5,2,True,False
8,4,Ty Murray,5,3,2,True,False
8,4,Melissa Rycroft,4,7,-3,False,True
8,7,Gilles Marini,3,1,2,True,False
8,7,Lil' Kim,1,3,-2,False,True
9,1,Melissa Joan Hart,6,4,2,True,False
9,2,Mark Dacascos,10,7,3,True,False
9,2,Joanna Krupa,7,10,-3,False,True
9,2,Aaron Carter,2,4,-2,False,True
9,3,Debi Mazar,13,11,2,True,False
9,3,Mark Dacascos,9,7,2,True,False
9,5,Melissa Joan Hart,2,4,-2,False,True
9,5,Mark Dacascos,4,2,2,True,False
9,6,Mark Dacascos,5,3,2,True,False
