variable,coef,std_err,t,p_value,ci_lower,ci_upper
const,19.381021042727408,0.551112285403038,35.16710034608234,4.548122866203307e-224,18.30038536535638,20.461656720098436
age,-0.09152340992051067,0.008069927663436987,-11.341292479631818,3.602429437161593e-29,-0.10734713945420427,-0.07569968038681707
week,1.1447467529560584,0.03448840670470031,33.19221913490265,1.7752690537330241e-203,1.0771209646586237,1.2123725412534931
I__Actor,5.135399804279488,0.2166309834941356,23.705749387499356,3.3737665106171726e-113,4.710623990369739,5.560175618189237
I__Athlete,4.807613677949869,0.21763292829244815,22.090470020646652,1.1050243628582889e-99,4.380873223939562,5.234354131960175
I__Other,4.6120305331909455,0.20207882973293487,22.82292776183509,9.880554343593738e-106,4.2157889707458365,5.0082720956360545
I__Singer,4.825977027307135,0.24767760306113215,19.484914936438482,2.5757006060418802e-79,4.340324173174402,5.311629881439869
P__Artem Chigvintsev,3.6016776707585647,0.8338266345999543,4.319456253021403,1.6195461116534286e-05,1.9666881523667488,5.23666718915038
P__Cheryl Burke,-0.9383551302655849,0.7187592372947705,-1.3055207941359033,0.19182473985819617,-2.347717425088483,0.4710071645573132
P__Derek Hough,1.4276499802116644,0.7284701723916488,1.9597919507459454,0.050120935494641985,-0.000753775315827987,2.856053735739157
P__Edyta Sliwinska,-3.222603527586586,0.9047858592220568,-3.5617306512254845,0.00037466965811647955,-4.996731787385972,-1.4484752677871993
P__Emma Slater,0.7273884981206081,0.8001199423909211,0.9090993232177458,0.36337733605395384,-0.84150803861937,2.296285034860586
P__Gleb Savchenko,0.4638410501556482,0.8428993938488449,0.5502923048000526,0.5821635785661888,-1.1889385767063119,2.1166206770176084
P__Jenna Johnson,-0.2648703167881711,0.9019308442750504,-0.2936703168202073,0.7690319911599326,-2.033400387084476,1.503659753508134
P__Karina Smirnoff,-2.312608690522435,0.7708913805795419,-2.999915096707734,0.0027247754170601018,-3.8241930832071924,-0.8010242978376771
P__Kym Johnson,-1.2180757540064193,0.809298161151797,-1.5051013488932783,0.13241282208769434,-2.804969187042159,0.3688176790293203
P__Lindsay Arnold,-0.3126308904230398,0.8321489771654358,-0.37569101086678025,0.7071755875203805,-1.944330813343723,1.319069032497643
P__Louis van Amstel,-2.2487794079799412,0.8716425377646991,-2.579933069520526,0.009933365255722578,-3.957919358532684,-0.5396394574271988
P__Maksim Chmerkoskiy,-0.17665831606420684,0.768279622356619,-0.22994012976984288,0.8181553879932885,-1.683121503522531,1.3298048713941175
P__Mark Ballas,0.7213012625281613,0.7262896834144671,0.9931316374165553,0.32073315122825413,-0.7028269320197141,2.1454294570760366
P__Other,-1.404733653825235,0.652639735950062,-2.1523875676682995,0.03145357430574906,-2.684447065806009,-0.12502024184446103
P__Peta Murgatroyd,0.16268191699755302,0.7920237342681585,0.2054003055197247,0.837274578512639,-1.3903393587827098,1.715703192777816
P__Sasha Farber,1.4529170595294616,0.7980479112891098,1.8205887628758064,0.06877798770253354,-0.1119165833274629,3.017750702386386
P__Sharna Burgess,1.0363688710359245,0.798837605677717,1.297346123504903,0.1946209037906258,-0.5300132256536425,2.602750967725491
P__Tony Dovolani,-0.9198850563775809,0.7721181626043334,-1.1913786010095058,0.2336077644431629,-2.4338749559970596,0.594104843241898
P__Valentin Chmerkovskiy,2.5762659131926586,0.7328381842394991,3.515463534240061,0.0004460786617258729,1.1392972434598616,4.013234582925456
P__Witney Carson,2.2652174209914007,0.7823563530006009,2.8953780618046068,0.003816869354451731,0.7311522044048304,3.7992826375779707
