variable,coef,std_err,t,p_value,ci_lower,ci_upper
const,5.786946318340251,0.6934812687815005,8.344776677974817,1.114438692746394e-16,4.427149521153292,7.146743115527211
judge_score,0.10061837454903659,0.019926546869988047,5.049463673035134,4.719959509582054e-07,0.06154586339034962,0.13969088570772356
age,0.006517931754847397,0.00862918238280045,0.7553359595039775,0.45011211412259466,-0.01040240206626879,0.023438265575963586
week,0.20280969453963005,0.04265688050099186,4.75444271024259,2.0924440537903e-06,0.11916693143349127,0.2864524576457688
I__Actor,1.4841277449352162,0.24846251675488726,5.973246042578467,2.625232121951611e-09,0.9969357331048891,1.9713197567655432
I__Athlete,1.39268908301962,0.2468092192594903,5.642775773117998,1.844014154044211e-08,0.9087389015605561,1.8766392644786838
I__Other,1.404202112418029,0.23033076341279793,6.096459246746051,1.23634152279177e-09,0.9525633321339249,1.8558408927021333
I__Singer,1.5059273779673843,0.27614479759760063,5.453397605417966,5.38077682941937e-08,0.964455202384557,2.0473995535502114
P__Artem Chigvintsev,0.14490242464906153,0.8744215613993791,0.16571231891533778,0.8683955320424955,-1.5696869840473295,1.8594918333454526
P__Cheryl Burke,0.5267854074791345,0.7514416648437919,0.7010330037909749,0.48334173140793874,-0.9466616993516233,2.000232514309892
P__Derek Hough,0.42210171742598407,0.7618896450730457,0.5540194963346894,0.5796105484508461,-1.0718320711543399,1.916035506006308
P__Edyta Sliwinska,1.280817744557906,0.9478119781702591,1.3513415888987932,0.17669718968600706,-0.5776775750286349,3.139313064144447
P__Emma Slater,-0.09848064371161974,0.8363684877155662,-0.11774791274191482,0.9062760009734717,-1.7384545580208484,1.541493270597609
P__Gleb Savchenko,-0.05794470992522253,0.8810021806071693,-0.06577135812000849,0.9475646405443784,-1.785437574453929,1.6695481546034838
P__Jenna Johnson,-0.3955324918009443,0.9426650091712858,-0.4195896611763114,0.6748180177680405,-2.2439354955959976,1.4528705119941092
P__Karina Smirnoff,0.8326064001622145,0.8070115228556558,1.0317156280693365,0.3022960795472535,-0.749803584753827,2.415016385078256
P__Kym Johnson,1.0717257862867502,0.8461836540165945,1.266540403137748,0.20542693808577359,-0.5874939711343576,2.730945543707858
P__Lindsay Arnold,-0.2688168900786272,0.8697402415782475,-0.309077213204286,0.7572862062184409,-1.9742270404648874,1.436593260307633
P__Louis van Amstel,0.9811292167317966,0.9120959150722869,1.0756864497677732,0.2821618723856177,-0.8073330819281876,2.769591515391781
P__Maksim Chmerkoskiy,0.8271571216652299,0.8029727883219793,1.030118496784667,0.3030449728813711,-0.7473336035233912,2.401647846853851
P__Mark Ballas,0.4518237247439955,0.7592154806574894,0.5951192201095674,0.5518127474598021,-1.036866490042599,1.9405139395305901
P__Other,0.6013241465115393,0.6826785035981419,0.880830644794271,0.3784864632468865,-0.7372902970079527,1.9399385900310313
P__Peta Murgatroyd,-0.2113015901553299,0.8277875046729936,-0.25526066649049234,0.7985408660914728,-1.8344496812112383,1.4118465009005785
P__Sasha Farber,-0.21509149828678106,0.834579625196996,-0.25772435821927764,0.7966389294399305,-1.851557762666786,1.4213747660932239
P__Sharna Burgess,-0.578953081572833,0.8351580184394035,-0.6932257953467043,0.48822640426945735,-2.2165534750403073,1.0586473118946413
P__Tony Dovolani,0.575842355803016,0.807185064279647,0.7133957022816233,0.47566146642584894,-1.0069079138231478,2.1585926254291796
P__Valentin Chmerkovskiy,-0.3019767815420718,0.7676420372001364,-0.39338228875986075,0.6940676436307459,-1.8071900159311127,1.2032364528469692
P__Witney Carson,-0.599107561349154,0.8189222436344777,-0.7315805206245722,0.46448697555673696,-2.204872409181231,1.0066572864829229
