variable,coef,std_err,t,p_value,ci_lower,ci_upper
const,1.0682141534437029,0.26507877277421593,4.029798924539187,6.713353476903175e-05,0.5470519682284737,1.5893763386589321
judge_score_avg,0.012670715521854304,0.005799950030665977,2.1846249458806795,0.029511091705917248,0.0012676348432831466,0.024073796200425462
age,0.003887597766163634,0.002255015617604459,1.7239782003343704,0.08550422777129398,-0.0005459102611510428,0.00832110579347831
I__Athlete,-0.13312947935083144,0.07571826378652677,-1.7582215002468184,0.07949418482781062,-0.28199653272783365,0.015737574026170764
I__Other,-0.07307490482345971,0.06795944392935005,-1.075272259429133,0.28291761454960296,-0.20668761146745618,0.06053780182053675
I__Singer,-0.08471888742946355,0.08525828401094811,-0.9936733821499939,0.32099801203839545,-0.25234224382961196,0.08290446897068483
P__Anna Trebunskaya,0.059648691947903815,0.24027355550447488,0.24825325376596807,0.8040691286759845,-0.412744815557896,0.5320421994537037
P__Artem Chigvintsev,0.19509313301315104,0.23595355660403403,0.8268285327885394,0.40883983419078673,-0.2688069744232331,0.6589932404495352
P__Brandon Armstrong,0.29194613939896286,0.2582382863770514,1.1305300367920461,0.25894771388317145,-0.21576720266156424,0.79965948145949
P__Chelsie Hightower,0.4946812810453384,0.26717102342019555,1.851552891899224,0.06484573554398171,-0.03059440562934368,1.0199569677200204
P__Cheryl Burke,0.33495942200629275,0.20695239060895676,1.6185337169610639,0.10635601867940792,-0.07192249839986148,0.741841342412447
P__Derek Hough,0.03723426745335143,0.2187465287990647,0.17021649512689607,0.8649281445308248,-0.3928356991609484,0.4673042340676513
P__Edyta Sliwinska,0.038121147030712815,0.24174003469403058,0.15769480251362833,0.8747789090996413,-0.437155554368747,0.5133978484301727
P__Emma Slater,0.30748324912339164,0.22354908545778876,1.3754618968524102,0.16977778780442476,-0.13202885763923483,0.7469953558860181
P__Gleb Savchenko,0.2085969245566364,0.22967054820112642,0.9082441183271114,0.3643101432449466,-0.24295037788251764,0.6601442269957905
P__Jenna Johnson,-0.16932273677924442,0.25022660884549464,-0.6766775826139048,0.49901167397410606,-0.6612845973994138,0.32263912384092497
P__Jonathan Roberts,-0.08814279115446834,0.26875989995918176,-0.3279610952670214,0.7431170720976537,-0.6165423129081689,0.4402567305992322
P__Karina Smirnoff,0.21229028615667542,0.21686178069076392,0.9789197777518609,0.328226460122329,-0.2140741425436589,0.6386547148570098
P__Keo Motsepe,-0.09946591245381377,0.25129633371845467,-0.39581123600972457,0.6924607251831266,-0.5935309220607404,0.39459909715311287
P__Kym Johnson,0.011962257920190913,0.2278204693727921,0.052507388616676816,0.9581512921378683,-0.4359476686744008,0.4598721845147826
P__Lindsay Arnold,0.15787714737077718,0.24467457275522778,0.6452535937549887,0.5191422696898726,-0.323169047574186,0.6389233423157403
P__Louis van Amstel,0.29271714031226076,0.23994348471316576,1.2199420236902114,0.22322404351834363,-0.1790274264538711,0.7644617070783926
P__Maksim Chmerkoskiy,0.26212044795531175,0.21864156773837673,1.19885916784571,0.23131063929075257,-0.1677431583564329,0.6919840542670563
P__Mark Ballas,0.011773050697596188,0.21084771910020195,0.0558367467660451,0.9555004546188639,-0.40276734000922465,0.42631344140441707
P__Other,0.07761297114002497,0.1876814469364059,0.41353566059368346,0.6794414982798623,-0.29138101501007063,0.44660695729012057
P__Peta Murgatroyd,0.2481027261352406,0.22396027138273303,1.1077979348902007,0.2686318350064001,-0.19221779901913777,0.6884232512896189
P__Sasha Farber,0.47267811026716106,0.234483922401623,2.0158231124160406,0.04450380855411819,0.011667399685831581,0.9336888208484906
P__Sharna Burgess,0.08183358105751347,0.22703970954882866,0.3604373050869932,0.7187152639127183,-0.364541320715111,0.5282084828301379
P__Tony Dovolani,0.2582729649505884,0.2129862512020372,1.2126274043181902,0.22600633751340438,-0.1604719195815253,0.677017849482702
P__Valentin Chmerkovskiy,0.03619639549373774,0.21511155755498346,0.16826801825599622,0.8664596600471792,-0.38672698017729756,0.459119771164773
P__Witney Carson,0.09117087183272246,0.22677378200856224,0.4020344460687265,0.6878789127174593,-0.35468119902234596,0.5370229426877909
