season,week,celebrity_name,judge_score,fan_votes,log_fan_votes,age,industry_raw,partner,placement,industry_cat,judge_score_avg,I__Actor,I__Athlete,I__Other,I__Singer
1,1,John O'Hurley,20.0,1.0,0.6931471805599453,50.0,Actor/Actress,Charlotte Jorgensen,2,Actor,24.166666666666668,True,False,False,False
1,2,John O'Hurley,26.0,2173470.0,14.59183598678689,50.0,Actor/Actress,Charlotte Jorgensen,2,Actor,24.166666666666668,True,False,False,False
1,3,John O'Hurley,24.0,2581152.0,14.763746756292889,50.0,Actor/Actress,Charlotte Jorgensen,2,Actor,24.166666666666668,True,False,False,False
1,4,John O'Hurley,21.0,3016808.0,14.91971020821539,50.0,Actor/Actress,Charlotte Jorgensen,2,Actor,24.166666666666668,True,False,False,False
1,5,John O'Hurley,27.0,1.0,0.6931471805599453,50.0,Actor/Actress,Charlotte Jorgensen,2,Actor,24.166666666666668,True,False,False,False
1,6,John O'Hurley,27.0,1.0,0.6931471805599453,50.0,Actor/Actress,Charlotte Jorgensen,2,Actor,24.166666666666668,True,False,False,False
1,1,Kelly Monaco,13.0,1.0,0.6931471805599453,29.0,Actor/Actress,Alec Mazo,1,Actor,21.333333333333332,True,False,False,False
1,2,Kelly Monaco,17.0,1905712.0,14.460366774733542,29.0,Actor/Actress,Alec Mazo,1,Actor,21.333333333333332,True,False,False,False
1,3,Kelly Monaco,21.0,2429038.0,14.703006263845532,29.0,Actor/Actress,Alec Mazo,1,Actor,21.333333333333332,True,False,False,False
1,4,Kelly Monaco,26.0,3302432.0,15.010170027511958,29.0,Actor/Actress,Alec Mazo,1,Actor,21.333333333333332,True,False,False,False
1,5,Kelly Monaco,23.5,1.0,0.6931471805599453,29.0,Actor/Actress,Alec Mazo,1,Actor,21.333333333333332,True,False,False,False
1,6,Kelly Monaco,27.5,1.0,0.6931471805599453,29.0,Actor/Actress,Alec Mazo,1,Actor,21.333333333333332,True,False,False,False
1,1,Evander Holyfield,18.0,1.0,0.6931471805599453,42.0,Athlete,Edyta Sliwinska,3,Athlete,15.0,False,True,False,False
1,2,Evander Holyfield,14.0,1816459.0,14.4124001100321,42.0,Athlete,Edyta Sliwinska,3,Athlete,15.0,False,True,False,False
1,3,Evander Holyfield,13.0,596290.0,13.29848408192334,42.0,Athlete,Edyta Sliwinska,3,Athlete,15.0,False,True,False,False
1,1,Rachel Hunter,20.0,1.0,0.6931471805599453,35.0,Model,Jonathan Roberts,4,Other,23.75,False,False,True,False
1,2,Rachel Hunter,24.0,1626129.0,14.301713516693507,35.0,Model,Jonathan Roberts,4,Other,23.75,False,False,True,False
1,3,Rachel Hunter,26.0,2001071.0,14.50919359492753,35.0,Model,Jonathan Roberts,4,Other,23.75,False,False,True,False
1,4,Rachel Hunter,25.0,743008.0,13.518463436681715,35.0,Model,Jonathan Roberts,4,Other,23.75,False,False,True,False
1,1,Joey McIntyre,20.0,1.0,0.6931471805599453,32.0,Singer/Rapper,Ashly DelGrosso,3,Singer,21.1,False,False,False,True
