partner,effect,rank
_Allison Holker,3.4539195852532565,1
_Witney Carson (Xoshitl Gomez week 9),3.0437475073313354,2
_Val Chmerkovskiy (Joey Graziadei week 9),2.983147507331247,3
_Valentin Chmerkovskiy,2.9309876684360243,4
_Ezra Sosa (Apolo Anton Ohno week 9),2.4073838709675,5
_Witney Carson,1.864431534519085,6
_Daniella Karagach (Rumer Willis week 9),1.8316202346038752,7
_Artem Chigvintsev,1.8220925129428096,8
_Derek Hough,1.7053460660895254,9
_Mark Ballas,1.2614356781965623,10
_Sasha Farber,0.8311547043008837,11
_Alan Bersten (Rashad Jennings week 9),0.7558565982403996,12
_Daniella Karagach,0.5740565982405452,13
_Sharna Burgess,0.12572702886236076,14
_Lindsay Arnold,-0.6764275214374035,15
_Gleb Savchenko,-0.959882795699073,16
_Brandon Armstrong,-1.030993906810083,17
_Jenna Johnson,-1.108576843318327,18
_Emma Slater,-1.146486836103076,19
_Peta Murgatroyd,-1.1859507824977165,20
_Maksim Chmerkoskiy,-1.1993673687018245,21
_Koko Iwasaki,-1.8754383512544415,22
_Cheryl Burke,-1.8928988515454213,23
_Pasha Pashkov,-2.1667350479513625,24
_Jan Ravnik,-2.724644700460947,25
_Julianne Hough,-2.803628324154179,26
_Britt Stewart,-2.8532161290323397,27
_Kym Johnson,-2.85752688172051,28
_Dmitry Chaplin,-2.9777950764008203,29
_Charlotte Jorgensen,-2.9865494623654354,30
