w_base,alpha,tau,delta,f1_elitism,f2_excitement,f3_disaster
0.5,0.05,0.2,0,0.6459971305936126,0.772831926323868,0.058823529411764705
0.5,0.05,0.2,1,0.5675906053365246,0.750575594781274,0.058823529411764705
0.5,0.05,0.2,2,0.5560681070359753,0.7459708365310821,0.029411764705882353
0.5,0.05,0.25,0,0.6459971305936126,0.772831926323868,0.058823529411764705
0.5,0.05,0.25,1,0.5675906053365246,0.750575594781274,0.058823529411764705
0.5,0.05,0.25,2,0.5560681070359753,0.7459708365310821,0.029411764705882353
0.5,0.05,0.3,0,0.6459971305936126,0.772831926323868,0.058823529411764705
0.5,0.05,0.3,1,0.5675906053365246,0.750575594781274,0.058823529411764705
0.5,0.05,0.3,2,0.5560681070359753,0.7459708365310821,0.029411764705882353
0.5,0.1,0.2,0,0.6551703103550277,0.7720644666155027,0.058823529411764705
0.5,0.1,0.2,1,0.5673204557082052,0.7513430544896393,0.058823529411764705
0.5,0.1,0.2,2,0.5608809412605742,0.7467382962394474,0.029411764705882353
0.5,0.1,0.25,0,0.6551703103550277,0.7720644666155027,0.058823529411764705
0.5,0.1,0.25,1,0.5673204557082052,0.7513430544896393,0.058823529411764705
0.5,0.1,0.25,2,0.5608809412605742,0.7467382962394474,0.029411764705882353
0.5,0.1,0.3,0,0.6551703103550277,0.7720644666155027,0.058823529411764705
0.5,0.1,0.3,1,0.5673204557082052,0.7513430544896393,0.058823529411764705
0.5,0.1,0.3,2,0.5608809412605742,0.7467382962394474,0.029411764705882353
0.5,0.15,0.2,0,0.6520493635853299,0.7712970069071374,0.058823529411764705
0.5,0.15,0.2,1,0.5673204557082052,0.7521105141980046,0.058823529411764705
0.5,0.15,0.2,2,0.5516695644021385,0.7467382962394474,0.029411764705882353
0.5,0.15,0.25,0,0.6520493635853299,0.7712970069071374,0.058823529411764705
0.5,0.15,0.25,1,0.5673204557082052,0.7521105141980046,0.058823529411764705
0.5,0.15,0.25,2,0.5516695644021385,0.7467382962394474,0.029411764705882353
0.5,0.15,0.3,0,0.6520493635853299,0.7712970069071374,0.058823529411764705
0.5,0.15,0.3,1,0.5673204557082052,0.7521105141980046,0.058823529411764705
0.5,0.15,0.3,2,0.5516695644021385,0.7467382962394474,0.029411764705882353
0.5,0.2,0.2,0,0.6520489177828201,0.7705295471987721,0.058823529411764705
0.5,0.2,0.2,1,0.5654661209390743,0.7521105141980046,0.058823529411764705
0.5,0.2,0.2,2,0.5569877756027026,0.7467382962394474,0.029411764705882353
0.5,0.2,0.25,0,0.6520489177828201,0.7705295471987721,0.058823529411764705
0.5,0.2,0.25,1,0.5654661209390743,0.7521105141980046,0.058823529411764705
0.5,0.2,0.25,2,0.5569877756027026,0.7467382962394474,0.029411764705882353
0.5,0.2,0.3,0,0.6520489177828201,0.7705295471987721,0.058823529411764705
0.5,0.2,0.3,1,0.5654661209390743,0.7521105141980046,0.058823529411764705
0.5,0.2,0.3,2,0.5569877756027026,0.7467382962394474,0.029411764705882353
0.55,0.05,0.2,0,0.6648114924582612,0.7689946277820414,0.058823529411764705
0.55,0.05,0.2,1,0.5720510192622983,0.750575594781274,0.058823529411764705
0.55,0.05,0.2,2,0.5566174645675448,0.7459708365310821,0.029411764705882353
0.55,0.05,0.25,0,0.6648114924582612,0.7689946277820414,0.058823529411764705
