season,week,actual_eliminated,elim_fixed_50_50,elim_new_system,match_fixed,match_new,suspense_fixed,suspense_new
1,2,Trista Sutter,Trista Sutter,Trista Sutter,1,1,1.7673328855669344,1.7727653263699976
1,3,Evander Holyfield,Evander Holyfield,Evander Holyfield,1,1,1.5651868633462955,1.572542262051721
1,4,Rachel Hunter,Rachel Hunter,Rachel Hunter,1,1,1.369783511158542,1.378766277192308
2,1,Kenny Mayne,Kenny Mayne,Kenny Mayne,1,1,2.2710738504370553,2.278306962036995
2,2,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,1,1,2.1683775378847896,2.1765950187841043
2,3,Giselle Fernandez,Giselle Fernandez,Master P,1,0,2.0596797478288424,2.064988094935891
2,4,Master P,Master P,Master P,1,1,1.8900341568148087,1.8952388356606746
2,5,Tia Carrere,Tia Carrere,Tia Carrere,1,1,1.7614605401379864,1.7741700751254668
2,6,George Hamilton,George Hamilton,George Hamilton,1,1,1.5833855793811358,1.5918683537965177
2,7,Lisa Rinna,Lisa Rinna,Lisa Rinna,1,1,1.3624897588241947,1.374472200453651
3,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,1,1,2.358864418563785,2.3697117266363517
3,2,Shanna Moakler,Shanna Moakler,Shanna Moakler,1,1,2.283833286380168,2.291741107033014
3,3,Harry Hamlin,Harry Hamlin,Harry Hamlin,1,1,2.1858764729230193,2.1881363705315904
3,4,Vivica A. Fox,Vivica A. Fox,Sara Evans,1,0,2.058239654371964,2.0665696328386165
3,5,Willa Ford,Willa Ford,Willa Ford,1,1,1.9336535953677005,1.935777006314603
3,7,Jerry Springer,Jerry Springer,Jerry Springer,1,1,1.5808289696411313,1.5952884299891523
3,8,Monique Coleman,Monique Coleman,Monique Coleman,1,1,1.3603292078594547,1.3769834022256358
4,2,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova,1,1,2.378489880062411,2.3858954115425015
4,3,Shandi Finnessey,Shandi Finnessey,Shandi Finnessey,1,1,2.2878846458627193,2.292481430789983
4,4,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,1,1,2.1626258123465854,2.171135137674462
4,5,Clyde Drexler,Clyde Drexler,Clyde Drexler,1,1,2.0270415586097292,2.0365586642017295
4,6,Heather Mills,Heather Mills,John Ratzenberger,1,0,1.9123306325232738,1.9240942117269162
4,7,John Ratzenberger,John Ratzenberger,John Ratzenberger,1,1,1.751392452066723,1.7661149490705035
4,8,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,1,1,1.562041996619172,1.5814143205392772
4,9,Ian Ziering,Ian Ziering,Ian Ziering,1,1,1.361687548967336,1.369452866480846
5,1,Josie Maran,Josie Maran,Josie Maran,1,1,2.4647874252451754,2.470240849599389
5,2,Albert Reed,Albert Reed,Albert Reed,1,1,2.378111977495104,2.384345142600509
5,3,Wayne Newton,Wayne Newton,Wayne Newton,1,1,2.281586139553333,2.28783368823567
5,4,Floyd Mayweather Jr.,Floyd Mayweather Jr.,Floyd Mayweather Jr.,1,1,2.1808947805758505,2.186250840212529
5,5,Mark Cuban,Mark Cuban,Mark Cuban,1,1,2.056879485707592,2.0635952046703903
5,6,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,1,1,1.9279559745248982,1.9332891592566832
5,7,Jane Seymour,Jane Seymour,Jane Seymour,1,1,1.7725819219705068,1.782789462270425
5,8,Cameron Mathison,Cameron Mathison,Cameron Mathison,1,1,1.5862938021325577,1.588142653368302
5,9,Jennie Garth,Jennie Garth,Jennie Garth,1,1,1.364408664367332,1.364408664367332
6,2,Monica Seles,Monica Seles,Monica Seles,1,1,2.4618779306503438,2.4660242358575224
6,3,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,1,1,2.282441118803717,2.2912186972629867
