season,week,celebrity_name,popularity_level,judge_score,judge_percentage,prior_votes,prior_percentage,estimated_votes,vote_percentage,combined_score,min_votes,max_votes,prior_consistency,confidence,confidence_level,is_eliminated,consistency_check
1,2,John O'Hurley,High,26.0,21.49,1965484,19.65,2173470,21.73,43.22,0,10000000,89.4,57.7,High,False,True
1,2,Kelly Monaco,High,17.0,14.05,1723348,17.23,1905712,19.06,33.11,665289,10000000,89.4,50.6,Medium,False,True
1,2,Evander Holyfield,High,14.0,11.57,1642637,16.43,1816459,18.16,29.73,913223,10000000,89.4,48.2,Medium,False,True
1,2,Rachel Hunter,Medium,24.0,19.83,1470520,14.71,1626129,16.26,36.1,86776,10000000,89.4,52.4,Medium,False,True
1,2,Joey McIntyre,High,21.0,17.36,1830964,18.31,2024716,20.25,37.6,334710,10000000,89.4,53.7,Medium,False,True
1,2,Trista Sutter,Medium,19.0,15.7,1367043,13.67,453510,4.54,20.24,0,86776,33.2,72.6,High,True,True
1,3,John O'Hurley,High,24.0,22.64,2265888,22.66,2581152,25.81,48.45,0,10000000,86.1,58.5,High,False,True
1,3,Kelly Monaco,High,21.0,19.81,2132354,21.32,2429038,24.29,44.1,0,10000000,86.1,58.5,High,False,True
1,3,Evander Holyfield,High,13.0,12.26,1744865,17.45,596290,5.96,18.23,0,1354716,34.2,68.2,High,True,True
1,3,Rachel Hunter,Medium,26.0,24.53,1756659,17.57,2001071,20.01,44.54,0,10000000,86.1,58.5,High,False,True
1,3,Joey McIntyre,High,22.0,20.75,2100231,21.0,2392446,23.92,44.68,0,10000000,86.1,58.5,High,False,True
1,4,John O'Hurley,High,21.0,22.83,2571066,25.71,3016808,30.17,52.99,1184782,10000000,82.7,56.3,High,False,True
1,4,Kelly Monaco,High,26.0,28.26,2814489,28.14,3302432,33.02,61.29,641304,10000000,82.7,59.6,High,False,True
1,4,Rachel Hunter,Medium,25.0,27.17,2110755,21.11,743008,7.43,34.6,0,206521,35.2,76.3,High,True,True
1,4,Joey McIntyre,High,20.0,21.74,2503689,25.04,2937750,29.38,51.12,1293478,10000000,82.7,55.0,Medium,False,True
2,1,Tatum O'Neal,High,23.0,11.79,1221703,12.22,1294425,12.94,24.74,0,10000000,94.0,47.1,Medium,False,True
2,1,Tia Carrere,Low,20.0,10.26,629030,6.29,666472,6.66,16.92,0,10000000,94.0,41.2,Medium,False,True
2,1,George Hamilton,High,18.0,9.23,1132528,11.33,1199941,12.0,21.23,43589,10000000,94.0,44.5,Medium,False,True
2,1,Lisa Rinna,Low,19.0,9.74,619426,6.19,656297,6.56,16.31,0,10000000,94.0,40.7,Medium,False,True
2,1,Stacy Keibler,High,22.0,11.28,1203868,12.04,1275528,12.76,24.04,0,10000000,94.0,46.5,Medium,False,True
2,1,Jerry Rice,High,21.0,10.77,1186033,11.86,1256632,12.57,23.34,0,10000000,94.0,46.0,Medium,False,True
2,1,Giselle Fernandez,Medium,23.0,11.79,939772,9.4,995711,9.96,21.75,0,10000000,94.0,44.8,Medium,False,True
